name,opcode,ops
MOV,C6,1
CMOVA,,1
XCHG,86,2
XLAT,,2
PUSH,6A,1
POP,58,1
LEA,8D,2
LAHF,,4
SAHF,,2
SALC,,1
BSWAP,C8,1
MOVBE,F0,1
PREFETCHNTA,18,1
PREFETCHT0/1/2,,1
PREFETCH/W,,1
SFENCE,F8,1
LFENCE,E8,1
MFENCE,F0,7
ADD,04,1
SUB,2C,1
ADC,14,1
SBB,1C,1
ADCX,F6,1
ADOX,F6,1
CMP,3C,1
INC,FE,1
DEC,FE,1
NEG,F6,1
AAA,,10
AAS,,10
DAA,,16
DAS,,20
AAD,,4
AAM,,4
MUL,F6,1
IMUL,F6,1
MULX,F6,2
DIV,F6,1
IDIV,F6,1
CBW,98,1
CWDE,98,1
CDQE,98,1
CDQ,99,1
CQO,99,1
CWD,99,2
AND,24,1
OR,0C,1
XOR,34,1
TEST,A8,1
NOT,F6,1
ANDN,F2,1
SHL,D0,1
SHR,D0,1
SAR,D0,1
ROL,D0,1
ROR,D0,1
RCL,D0,1
RCR,D0,1
SHLD,A4,6
SHRD,AC,6
SARX,F7,1
SHLX,F7,1
SHRX,F7,1
RORX,F0,1
BT,BA,1
BTC,BA,2
BTR,BA,2
BTS,BA,2
BSF,BC,6
BSR,BD,6
SETcc,,1
CLC,F8,1
STC,F9,1
CMC,F5,1
CLD,FC,1
STD,FD,1
POPCNT,B8,1
LZCNT,BD,1
TZCNT,BC,2
BEXTR,10,1
BLSI,F3,2
BLSMSK,F3,2
BLSR,F3,2
PDEP,F5,6
PEXT,F5,7
BZHI,F5,1
JMP,EB,1
Jcc,,1
fused CMP+Jcc,,1
J(E/R)CXZ,,1
LOOP,,1
LOOPE,,1
LOOPNE,,1
CALL,E8,2
RET,C3,1
BOUND,,11
INTO,,4
LODS,,3
REP LODS,,6
STOS,,3
REP STOS,,3
MOVS,,5
REP MOVS,,1
SCAS,,3
REP SCAS,,7
CMPS,,6
REP CMPS,,9
LOCK ADD,,1
XADD,C0,4
LOCK XADD,,4
CMPXCHG,B0,5
LOCK CMPXCHG,,5
CMPXCHG8B,C7,18
LOCK CMPXCHG8B,,18
CMPXCHG16B,C7,27
LOCK CMPXCHG16B,,27
NOP,,1
Long NOP (0F 1F),,1
PAUSE,90,8
ENTER,,12
LEAVE,,2
CPUID,A2,37
XGETBV,D0,38
RDTSC,31,37
RDTSCP,F9,37
RDPMC,,19
CRC32,F0,1
RDRAND,C7,11
FLD,,1
FST(P),,1
FXCH,,1
FILD,,1
FIST,,2
